month,scene,zone,metric,value,cloud
2021-03,S2A_48NUG_20210301_0_L2A,pax_t4,stock_bright,2986.0,0.0637000637000637
2021-03,S2A_48NUG_20210301_0_L2A,airfield,stock_bright,1448.0,0.03847247902147632
2021-04,S2A_48NUG_20210420_0_L2A,west_cargo,stock_bright,2220.0,0.5645454545454546
2021-04,S2A_48NUG_20210420_0_L2A,east_cargo,stock_bright,2646.0,0.6496288183035172
2021-04,S2A_48NUG_20210420_0_L2A,pax_t123,stock_bright,1760.0,0.277576466004286
2021-04,S2A_48NUG_20210420_0_L2A,pax_t4,stock_bright,2446.0,0.16443716443716444
2021-04,S2A_48NUG_20210420_0_L2A,airfield,stock_bright,1652.0,0.2914338541560843
2021-05,S2A_48NUG_20210510_0_L2A,west_cargo,stock_bright,1444.0,0.12121212121212122
2021-05,S2A_48NUG_20210510_0_L2A,east_cargo,stock_bright,1470.0,0.09565534866739686
2021-05,S2A_48NUG_20210510_0_L2A,pax_t123,stock_bright,1694.0,0.18679135008766803
2021-05,S2A_48NUG_20210510_0_L2A,pax_t4,stock_bright,2228.0,0.085995085995086
2021-05,S2A_48NUG_20210510_0_L2A,airfield,stock_bright,1186.0,0.07089013958591543
2021-05,S2A_48NUG_20210510_1_L2A,west_cargo,stock_bright,1396.0,0.0
2021-05,S2A_48NUG_20210510_1_L2A,east_cargo,stock_bright,1416.0,0.0
2021-05,S2A_48NUG_20210510_1_L2A,pax_t123,stock_bright,1624.0,0.0
2021-05,S2A_48NUG_20210510_1_L2A,pax_t4,stock_bright,2182.0,0.0
2021-05,S2A_48NUG_20210510_1_L2A,airfield,stock_bright,1148.0,0.0
2021-05,S2A_48NUG_20210510_1_L2A,west_cargo,pairdiff,2429263.0,0.12121212121212122
2021-05,S2A_48NUG_20210510_1_L2A,east_cargo,pairdiff,1905953.0,0.09565534866739686
2021-05,S2A_48NUG_20210510_1_L2A,pax_t123,pairdiff,6840934.0,0.18679135008766803
2021-05,S2A_48NUG_20210510_1_L2A,pax_t4,pairdiff,2284815.0,0.085995085995086
2021-05,S2A_48NUG_20210510_1_L2A,airfield,pairdiff,38954464.0,0.07089013958591543
2021-07,S2A_48NUG_20210709_0_L2A,west_cargo,stock_bright,1810.0,0.4670707070707071
2021-07,S2A_48NUG_20210709_0_L2A,east_cargo,stock_bright,1660.0,0.21784106121455518
2021-07,S2A_48NUG_20210709_0_L2A,pax_t123,stock_bright,2164.0,0.44445743230079876
2021-07,S2A_48NUG_20210709_0_L2A,pax_t4,stock_bright,2320.0,0.16662116662116663
2021-07,S2A_48NUG_20210709_0_L2A,airfield,stock_bright,1526.0,0.2703131031960501
2021-07,S2A_48NUG_20210729_0_L2A,west_cargo,stock_bright,1678.0,0.2864646464646465
2021-07,S2A_48NUG_20210729_0_L2A,east_cargo,stock_bright,1704.0,0.3849336740903006
2021-07,S2A_48NUG_20210729_0_L2A,pax_t123,stock_bright,1850.0,0.26409507110851355
2021-07,S2A_48NUG_20210729_0_L2A,pax_t4,stock_bright,2212.0,0.14305214305214306
2021-07,S2A_48NUG_20210729_0_L2A,airfield,stock_bright,1672.0,0.304904809313855
2021-07,S2A_48NUG_20210729_0_L2A,west_cargo,pairdiff,,0.4670707070707071
2021-07,S2A_48NUG_20210729_0_L2A,east_cargo,pairdiff,,0.3849336740903006
2021-07,S2A_48NUG_20210729_0_L2A,pax_t123,pairdiff,,0.44445743230079876
2021-07,S2A_48NUG_20210729_0_L2A,pax_t4,pairdiff,5469802.0,0.16662116662116663
2021-07,S2A_48NUG_20210729_0_L2A,airfield,pairdiff,,0.304904809313855
2021-07,S2A_48NUG_20210729_1_L2A,west_cargo,stock_bright,1620.0,0.13454545454545455
2021-07,S2A_48NUG_20210729_1_L2A,east_cargo,stock_bright,1640.0,0.46063040038943653
2021-07,S2A_48NUG_20210729_1_L2A,pax_t123,stock_bright,1726.0,0.006779661016949152
2021-07,S2A_48NUG_20210729_1_L2A,pax_t4,stock_bright,2178.0,0.05132405132405132
2021-07,S2A_48NUG_20210729_1_L2A,airfield,stock_bright,1596.0,0.2586911026677774
2021-07,S2A_48NUG_20210729_1_L2A,west_cargo,pairdiff,1560350.0,0.2864646464646465
2021-07,S2A_48NUG_20210729_1_L2A,east_cargo,pairdiff,,0.46063040038943653
2021-07,S2A_48NUG_20210729_1_L2A,pax_t123,pairdiff,4903691.0,0.26409507110851355
2021-07,S2A_48NUG_20210729_1_L2A,pax_t4,pairdiff,1533026.0,0.14305214305214306
2021-07,S2A_48NUG_20210729_1_L2A,airfield,pairdiff,,0.304904809313855
2021-08,S2A_48NUG_20210828_0_L2A,west_cargo,stock_bright,2056.0,0.5406060606060606
2021-08,S2A_48NUG_20210828_0_L2A,east_cargo,stock_bright,2292.0,0.5505658999634904
2021-08,S2A_48NUG_20210828_0_L2A,pax_t123,stock_bright,1764.0,0.3333722969023963
2021-08,S2A_48NUG_20210828_0_L2A,pax_t4,stock_bright,1770.0,0.1953771953771954
2021-08,S2A_48NUG_20210828_0_L2A,airfield,stock_bright,1404.0,0.26321189832781355
